nombre,apellido,grado,ingreso,ruta_ingreso,salida,ruta_salida,acudiente_documento,acudiente_nombre,acudiente_apellido,acudiente_telefono,parentesco
Juan,Garcia,Primero,acudiente,,acudiente,,67890,Carlos,Rodriguez,3002222222,Hermano
Maria,Rodriguez,Primero,acudiente,,acudiente,,77777,Camila,Ramirez,3009999999,Abuela
Carlos,Martinez,Segundo,ruta,R1,acudiente,,11111,Ana,Martinez,3003333333,Madre
Ana,Lopez,Primero,acudiente,,ruta,R2,,22222,Luis,Lopez,3004444444,Padre
Luis,Hernandez,Segundo,acudiente,,acudiente,,33333,Sofia,Hernandez,3005555555,Tia
Sofia,Gonzalez,Primero,ruta,R3,ruta,R4,,44444,Pedro,Gonzalez,3006666666,Tio
Pedro,Perez,Segundo,acudiente,,acudiente,,55555,Valentina,Perez,3007777777,Hermana
Valentina,Sanchez,Primero,acudiente,,acudiente,,66666,Diego,Sanchez,3008888888,Madre
Diego,Ramirez,Segundo,ruta,R2,acudiente,,77777,Camila,Ramirez,3009999999,Padre
Camila,Torres,Primero,acudiente,,ruta,R5,,88888,Andres,Torres,3000000000,Madre
Andres,Flores,Segundo,acudiente,,acudiente,,12345,Maria,Garcia,3001111111,Padre
Isabella,Rivera,Primero,ruta,R4,ruta,R1,,11111,Ana,Martinez,3003333333,Hermana
Jorge,Gomez,Segundo,acudiente,,acudiente,,22222,Luis,Lopez,3004444444,Tio
Gabriela,Diaz,Primero,acudiente,,acudiente,,33333,Sofia,Hernandez,3005555555,Tia
Miguel,Reyes,Segundo,ruta,R6,acudiente,,44444,Pedro,Gonzalez,3006666666,Hermano
Sara,Morales,Primero,acudiente,,ruta,R3,,55555,Valentina,Perez,3007777777,Madre
David,Cruz,Segundo,acudiente,,acudiente,,67890,Carlos,Rodriguez,3002222222,Padre
Lucia,Ortiz,Primero,ruta,R1,ruta,R2,,77777,Camila,Ramirez,3009999999,Hermana
Santiago,Castillo,Segundo,acudiente,,acudiente,,88888,Andres,Torres,3000000000,Tio
Elena,Vargas,Primero,acudiente,,acudiente,,12345,Maria,Garcia,3001111111,Hermano
Felipe,Rojas,Segundo,ruta,R5,acudiente,,55555,Valentina,Perez,3007777777,Padre
Paula,Mendoza,Primero,acudiente,,ruta,R4,,67890,Carlos,Rodriguez,3002222222,Hermana
Daniel,Jimenez,Segundo,acudiente,,acudiente,,11111,Ana,Martinez,3003333333,Tio
Laura,Ruiz,Primero,ruta,R3,acudiente,,22222,Luis,Lopez,3004444444,Madre
Alejandro,Aguilar,Segundo,acudiente,,acudiente,,33333,Sofia,Hernandez,3005555555,Padre
Valeria,Gutierrez,Primero,acudiente,,ruta,R6,,44444,Pedro,Gonzalez,3006666666,Tia
Pablo,Medina,Segundo,acudiente,,acudiente,,55555,Valentina,Perez,3007777777,Abuelo
Mariana,Moreno,Primero,ruta,R2,ruta,R1,,67890,Carlos,Rodriguez,3002222222,Abuela
Javier,Carrillo,Segundo,acudiente,,acudiente,,77777,Camila,Ramirez,3009999999,Hermana
Catalina,Contreras,Primero,acudiente,,acudiente,,88888,Andres,Torres,3000000000,Hermano
Oscar,Acosta,Segundo,ruta,R4,acudiente,,12345,Maria,Garcia,3001111111,Madre
Natalia,Solis,Primero,acudiente,,ruta,R5,,11111,Ana,Martinez,3003333333,Padre
Fernando,Navarro,Segundo,acudiente,,acudiente,,22222,Luis,Lopez,3004444444,Tio
Carolina,Campos,Primero,ruta,R6,acudiente,,33333,Sofia,Hernandez,3005555555,Tia
Ricardo,Salazar,Segundo,acudiente,,acudiente,,44444,Pedro,Gonzalez,3006666666,Hermano
Daniela,Chavez,Primero,acudiente,,ruta,R1,,55555,Valentina,Perez,3007777777,Madre
Manuel,Vega,Segundo,acudiente,,acudiente,,67890,Carlos,Rodriguez,3002222222,Padre
Andrea,Pena,Primero,ruta,R3,ruta,R4,,77777,Camila,Ramirez,3009999999,Hermana
Hugo,Cortes,Segundo,acudiente,,acudiente,,88888,Andres,Torres,3000000000,Tio
Ximena,Ramos,Primero,acudiente,,acudiente,,12345,Maria,Garcia,3001111111,Hermano
Ivan,Delgado,Segundo,ruta,R5,acudiente,,11111,Ana,Martinez,3003333333,Madre
Lorena,Miranda,Primero,acudiente,,ruta,R2,,22222,Luis,Lopez,3004444444,Padre
Raul,Guerrero,Segundo,acudiente,,acudiente,,33333,Sofia,Hernandez,3005555555,Tia
Fernanda,Cabrera,Primero,ruta,R1,acudiente,,44444,Pedro,Gonzalez,3006666666,Tio
Alberto,Vera,Segundo,acudiente,,acudiente,,55555,Valentina,Perez,3007777777,Hermano
Tatiana,Paredes,Primero,acudiente,,ruta,R6,,67890,Carlos,Rodriguez,3002222222,Hermana
Gustavo,Nunez,Segundo,ruta,R2,acudiente,,77777,Camila,Ramirez,3009999999,Madre
Adriana,Leon,Primero,acudiente,,acudiente,,88888,Andres,Torres,3000000000,Padre
Cristian,Cardenas,Segundo,ruta,R4,ruta,R3,,12345,Maria,Garcia,3001111111,Tio
Vanesa,Molina,Primero,acudiente,,acudiente,,11111,Ana,Martinez,3003333333,Hermana
